Number			1			2			3			4			5			6			7			8			9			10			11			12			13			14			15			16			17			18			19			20			21			22			23			24			25			26			27			28			29			30			31			32			33			34			35			36			37			38			39			40			41			42			43			44			45			46			47			48			49			50			51			52			53			54			55			56			57			58			59			60			61			62			63			64			65			66			67			68			69			70			71			72			73			74			75			76			77	
Mouse ID			HB A117			HB 954			HB A124			HB A197			HB A125			HB A554			HB A286			HB A286			HB A286			HB A404			HB A614			HB A424			HB A424			HB A424			HB A424			HB A424			HB A425			HB A425			HB A425			HB A425			HB A116			HB A550			HB A551			HB A552			HB A123			HB 597			HB 390			HB 598			HB 953			HB 737			HB 736			HB 736			HB 418			HB B30			HB B30			HB A72			HB A72			HB A614			HB A554			HB A767			HB A768			HB A834			HB A834			HB A894			HB A896			HB A614			HB A614			HB A835			HB A554			HB A554			HB A767			HB A767			HB A768			HB A834			HB A954			HB A955			HB A956			HB A993			HB A768			HB A954			HB A956			HB A554			HB A834			HB A896			HB A768			HB A954			HB A955			HB A956			HB A768			HB A834			HB A955			HB A993			HB A955			HB B452			HB B452			HB A954			HB B452	
Mouse biopsy HB heteroplasmy  (%)		HB A117	24.31911516		HB 954	21.00367247		HB A124	30.54325807		HB A197	27.43403016		HB A125	26.31670448		HB A554	61.10098768		HB A286	36.59049748		HB A286	36.59049748		HB A286	36.59049748		HB A404	48.58205665		HB A614	26.64656564		HB A424	28.38846446	age	HB A424	28.38846446		HB A424	28.38846446		HB A424	28.38846446		HB A424	28.38846446		HB A425	21.68361212		HB A425	21.68361212		HB A425	21.68361212		HB A425	21.68361212		HB A116	27.04170628		HB A550	18.96668828		HB A551	22.71426318		HB A552	15.84784745		HB A123	22.78581927		HB 597	13.97430025		HB 390	15.53062217		HB 598	12.5431805		HB 953	8.063672987		HB 737	8.809267094		HB 736	18.11159606		HB 736	18.11159606		HB 418	13.25483695		HB B30	9.454346886		HB B30	9.454346886		HB A72	6.435347145		HB A72	6.435347145		HB A614	38.4406155		HB A554	63.71796603		HB A767	48.84330141		HB A768	51.50014026		HB A834	52.97173137		HB A834	52.97173137		HB A894	61.69429091		HB A896	58.26759387		HB A614	43.62171789		HB A614	43.62171789		HB A835	50.5605338		HB A554	57.17038926		HB A554	57.17038926		HB A767	53.93158319		HB A767	53.93158319		HB A768	60.28502349		HB A834	63.03606783		HB A954	77.6769969		HB A955	83.57224546		HB A956	73.1972422		HB A993	56.99436268		HB A768	51.07886498		HB A954	80.6971653		HB A956	66.73068915		HB A554	62.37272897		HB A834	54.08118176		HB A896	65.55151817		HB A768	50.15102091		HB A954	81.08417223		HB A955	82.6836776		HB A956	62.4402927		HB A768	50.40111432		HB A834	54.02555481		HB A955	83.5656123		HB A993	67.17995622		HB A955	86.20067178		HB B452	27.79659186		HB B452	32.79084434		HB A954	80.59710723		HB B452	33.49948195	
Age (d)			118			288			188			92			158			201			89			114			137			83			138			111			157			180			227			278			110			162			223			246			110			115			114			115			169			154			240			181			201			123			127			184			97			86			126			131			152			199			243			75			73			97			117			94			93			238			263			75			295			317			97			118			99			74			82			84			84			60			184			101			103			114			158			134			232			145			148			151			255			214			172			103			104			105			130			204			169	
Pup biopsy HB heteroplasmy (%)		HB A135	40.15073781	F	HB A116	20.19760476	F	HB A234	63.56386961	F	HB A305	13.98778833	F	HB A194	6.890559018	F	HB A767	46.57793382	F	HB A370	26.02292644	F	HB A402	18.36111446	F	HB A422	15.5681378	F	HB A493	38.92360678	F	HB A746	23.29668633	F	HB A548	23.08307828	F	HB A608	11.59152094	F	HB A644	36.27191891	F	HB A671	39.71901177	M	HB A738	35.09959845	F	HB A537	20.75642854	F	HB A632	31.34359653	F	HB A674	10.49834145	M	HB A723	12.07429956	F	HB A123	19.2123809	F	HB A696	19.97680426	F	HB A703	27.43443217	M	HB A689	12.45455004	F	HB A209	23.23072391	F	HB 689	6.794119799	F	HB 597	13.78938284	F	HB 735	12.85912723	F	HB A040	14.22586523	F	HB 872	7.647094132	F	HB 895	26.81279272	F	HB 951	15.2651516	F	HB 518	2.74249505	F	HB 453	19.3898332	M	HB 491	7.985878079	F	HB 468	3.078177503	F	HB 503	0.592015115	F	HB A849	50.5149408	F	HB A834	55.17735788	F	HB A904	34.9069084	F	HB A894	63.94420813	F	HB B045	33.81299081	F	HB B059	54.62092275	F	HB B076	63.61493335	F	HB B066	41.19072591	F	HB A912	39.20939653	F	HB A964	74.35780165	F	HB B015	56.43455336	F	HB A954	83.05503116	F	HB A980	43.14760325	M	HB A949	47.85791637	F	HB A984	28.64010153	F	HB A945	52.96171108	F	HB A993	76.20955273	F	HB B101	95.94760133	F	HB B110	98.65502165	F	HB B119	80.34205764	F	HB B093	84.13697847	F	HB B122	44.46590601	F	HB B148	83.16913244	F	HB B155	66.0867919	F	HB A684	49.30392134	M	HB B161	34.05800315	F	HB B178	40.91746527	F	HB B349	50.89773475	M	HB B369	89.89126444	M	HB B384	82.55669503	M	HB B396	51.9224355	M	HB B440	48.81947095	M	HB B444	32.25107762	M	HB B455	89.53584128	M	HB B314	52.59715776	M	HB B173	70.334159	F	HB B593	18.15042267	M	HB B626	11.32495167	M	HB B509	92.46011176	M	HB B668	21.36764984	M
Pup biopsy HB heteroplasmy (%)		HB A136	24.13130348	F	HB A117	18.32425694	F	HB A235	40.02625393	F	HB A306	23.86206942	F	HB A195	17.2698886	F	HB A768	51.87130393	F	HB A371	15.0643119	F	HB A403	38.91281921	F	HB A423	32.57811194	F	HB A494	58.97753248	F	HB A747	24.87529092	F	HB A549	25.18607796	F	HB A609	28.39653013	F	HB A645	27.22622729	F	HB A672	8.690555811	M	HB A739	39.65878402	F	HB A538	25.11843474	F	HB A633	9.87987622	F	HB A675	32.15345086	M	HB A724	11.05202646	F	HB A124	19.62247522	F	HB A697	21.79343334	F	HB A704	31.87482863	M	HB A690	13.67089162	F	HB A210	17.81012878	F	HB 690	6.01759885	F	HB 598	16.16377025	F	HB 736	18.07014351	F	HB A041	9.380188608	F	HB 873	5.022766648	F	HB 896	12.61526006	F	HB 952	8.15639192	F	HB 519	15.81503816	F				HB 492	8.313523503	F	HB 469	6.59580568	F	HB 504	8.186151444	F	HB A850	21.35604202	F	HB A835	50.44669464	F	HB A905	34.12249358	F	HB A895	49.6775446	F	HB B046	45.43550738	F	HB B060	51.1045442	F	HB B077	56.39593134	F	HB B067	67.26314924	F	HB A913	9.265660275	F	HB A965	41.25915542	M	HB B016	43.04127058	F	HB A955	83.69607589	F	HB A981	66.99577606	M	HB A950	43.86261202	F	HB A985	54.43319765	F	HB A946	58.55200575	F	HB A994	68.30459892	F	HB B102	93.94761381	F	HB B111	98.46540884	F	HB B120	80.68726123	M	HB B094	84.18294598	F	HB B123	80.33254121	F	HB B149	93.44462299	F	HB B156	76.15601367	F	HB A685	49.03929295	M	HB B162	35.05033447	F	HB B179	40.01053114	F	HB B350	40.67745942	M	HB B370	77.86473303	M	HB B385	84.15257349	M	HB B397	68.11443357	M	HB B441	63.43948258	M	HB B445	46.7625531	M	HB B456	99.97648699	M	HB B315	86.05400266	M	HB B174	99.69235238	F	HB B594	18.53423909	M	HB B627	27.46764931	M	HB B510	87.85264729	M	HB B669	50.83884937	M
Pup biopsy HB heteroplasmy (%)		HB A137	39.05267149	F	HB A118	17.92803092	F	HB A236	22.85128326	F	HB A307	42.7315495	F	HB A196	43.47777177	F	HB A769	59.34350198	M	HB A372	45.89249895	F	HB A404	31.44832453	F	HB A424	42.19090247	F	HB A495	57.50117432	F	HB A748	28.21987337	F	HB A550	15.737406	F	HB A610	18.11213762	F	HB A646	26.45633084	F	HB A673	29.97737718	M	HB A740	18.0077326	F	HB A539	16.4889476	F	HB A634	8.102748189	F	HB A676	21.54866665	M	HB A725	6.817179328	F	HB A125	20.61902535	F	HB A698	11.32890781	F	HB A705	27.60430714	M	HB A691	19.62786539	M	HB A211	12.23440343	F	HB 691	2.888400847	F	HB 599	13.56031482	M	HB 737	7.066270036	F	HB A042	6.892292431	F	HB 874	11.10099062	F	HB 897	26.90826145	F	HB 953	10.41126609	F	HB 520	23.97448333	F				HB 493	1.32432438	F	HB 470	5.085841391	F	HB 505	15.19020792	M	HB A851	23.5460474	F	HB A836	61.71639699	M	HB A906	48.9936491	F	HB A896	62.67747975	F	HB B047	80.46600483	M	HB B061	65.14207643	F	HB B078	56.17187154	F	HB B068	54.3077316	F	HB A914	27.37965271	F	HB A966	50.70820891	M	HB B017	38.62908394	F	HB A956	72.4088706	F	HB A982	71.3819205	M	HB A951	45.23347555	M	HB A986	35.42011076	F	HB A947	42.50503686	M	HB A995	63.96178845	F	HB B103	89.70554051	F	HB B112	95.78842787	F	HB B121	67.70115265	M	HB B095	75.81209578	F	HB B124	25.48168837	F	HB B150	62.00482142	F	HB B157	64.1061615	M	HB A686	30.14545189	M	HB B163	33.99480761	M	HB B180	51.7068224	F	HB B351	64.70084431	M	HB B371	95.5816964	M	HB B386	83.73247655	M	HB B398	37.03882349	F	HB B442	50.10091788	F	HB B446	44.84370263	M	HB B457	72.71731739	M	HB B316	81.08873893	M	HB B175	96.96300204	M	HB B595	47.32668132	M	HB B628	49.22255891	M	HB B511	67.94413588	M	HB B670	21.92354074	M
Pup biopsy HB heteroplasmy (%)		HB A138	42.6315153	F	HB A119	11.53884347	M	HB A237	38.33496233	F	HB A308	24.28248608	F	HB A197	24.51094543	F	HB A770	73.49556717	M	HB A373	36.12231756	F	HB A405	16.00691724	F	HB A425	36.78882115	F	HB A496	65.04852708	M	HB A749	31.05849944	M	HB A551	30.69668146	F	HB A611	19.68421682	F	HB A647	12.14342775	F				HB A741	22.22924398	F	HB A540	30.8340941	F	HB A635	22.26742185	F	HB A677	23.68677215	M	HB A726	19.91719064	M	HB A126	23.94697112	F	HB A699	14.26934703	M	HB A706	24.35843252	M	HB A692	16.61057729	M	HB A212	49.38622597	F	HB 692	15.53471848	F	HB 600	8.956646273	M	HB 738	13.18522063	M	HB A043	13.41151368	F	HB 875	9.544617529	M	HB 898	11.61941115	M	HB 954	18.64041974	F	HB 521	7.732938389	F				HB 494	17.37407261	M	HB 471	19.69448583	F	HB 506	35.08720442	M	HB A852	5.63569296	M	HB A837	52.84490723	M	HB A907	55.97454467	M	HB A897	68.35060608	M				HB B062	53.62879497	F	HB B079	78.64781275	F	HB B069	49.14893218	F	HB A915	42.30808324	F	HB A967	37.39890715	M	HB B018	50.88421396	M	HB A957	29.29788484	F	HB A983	57.12122763	M	HB A952	83.48204205	M	HB A987	21.61109402	F	HB A948	74.87000945	M	HB A996	64.3035794	F	HB B104	95.51937175	F	HB B113	96.81067239	F				HB B096	38.66561222	F	HB B125	34.69184147	F	HB B151	90.01673922	F	HB B158	78.43466588	M	HB A687	74.91600874	M	HB B164	26.31879898	M	HB B181	35.00245402	F	HB B352	68.11322607	M	HB B372	51.1063116	M	HB B387	82.36397335	M	HB B399	75.2327125	F	HB B443	71.89556874	F	HB B447	55.65314283	M	HB B458	83.38917761	M	HB B317	65.34877656	M	HB B176	91.28531959	M	HB B596	25.90385767	M	HB B629	27.84330087	M	HB B512	75.01948119	F	HB B671	37.12974453	F
Pup biopsy HB heteroplasmy (%)		HB A139	20.18698229	M	HB A120	20.88855338	M	HB A238	20.72644488	M				HB A198	22.74899742	F	HB A771	71.9662751	M	HB A374	23.56568798	M	HB A406	20.16528002	F	HB A426	14.45526565	M				HB A750	45.50461189	M	HB A552	31.92082953	F	HB A612	16.49248924	F	HB A648	30.45566763	M				HB A742	34.18599407	F	HB A541	15.02473344	M	HB A636	13.22133202	F	HB A678	0.036414788	M	HB A727	14.59096033	M	HB A127	24.53811595	M	HB A700	8.537899928	M	HB A707	27.55476952	M	HB A693	20.2368648	M	HB A213	48.83211626	M	HB 693	3.590930768	M	HB 601	29.66551498	M				HB A044	20.8768449	F	HB 876	9.807135624	M	HB 899	8.344448437	M	HB 955	0.473508711	F	HB 522	9.083105745	F							HB 472	9.816117138	M				HB A853	30.05144341	M				HB A908	71.94416413	M	HB A898	79.78550778	M				HB B063	72.08256875	F	HB B080	61.38686269	F	HB B070	75.59826464	F	HB A916	24.63833454	M				HB B019	44.47257781	M	HB A958	89.76268574	M							HB A988	51.16490593	F				HB A997	50.20624519	M	HB B105	83.33655991	F	HB B114	87.57345042	M				HB B097	59.40020539	M	HB B126	78.02779429	F	HB B152	91.75779386	M	HB B159	54.12835778	M	HB A688	48.83855329	M	HB B165	27.44366593	M	HB B182	78.55569713	F	HB B353	50.8849199	F	HB B373	97.25515241	F	HB B388	92.41531858	M	HB B400	74.93541147	F				HB B448	27.77716617	M	HB B459	81.68024274	M	HB B318	71.30407156	M	HB B177	67.86243068	M	HB B597	40.74973064	M	HB B630	25.11201775	F	HB B513	97.75205955	F	HB B672	41.85648631	F
Pup biopsy HB heteroplasmy (%)		HB A140	32.72478767	M				HB A239	33.42146445	M				HB A199	24.83506961	M	HB A772	41.27198755	M	HB A375	22.83248748	M	HB A407	10.08927578	M	HB A427	29.97271101	M							HB A553	25.34962587	F	HB A614	29.17827958	F	HB A649	14.08315088	M				HB A743	5.055533668	F	HB A542	17.51384288	M	HB A637	11.45935405	M	HB A679	32.10951208	M	HB A728	28.37373186	M	HB A128	22.00068831	M	HB A701	21.2832973	M	HB A708	13.25567583	M	HB A694	17.14069886	M	HB A214	21.73163251	M	HB 694	0.247049357	M	HB 602	29.71821612	M				HB A045	4.228293177	M	HB 877	9.938943986	M	HB 900	23.36994943	M	HB 956	12.10616013	M	HB 523	11.38919659	M																			HB A909	53.61696586	M	HB A899	68.70836583	M				HB B064	70.07440923	M	HB B081	72.63446933	M	HB B071	58.52413113	M	HB A917	12.91658827	M				HB B020	36.67696265	M										HB A989	46.76957364	M							HB B106	87.23993911	M	HB B115	92.07081754	M				HB B098	50.58269427	M	HB B127	44.23330894	M	HB B153	67.30000025	M	HB B160	50.25432631	M				HB B166	26.07410124	M	HB B183	54.66264084	F	HB B354	39.40793769	F	HB B374	79.06583872	F	HB B389	80.30061464	M	HB B401	85.32404952	F				HB B449	54.97910334	M	HB B460	99.9493408	F	HB B319	56.92974315	M				HB B598	49.30311125	F	HB B631	47.92522075	F	HB B514	82.6870102	F	HB B673	50.94073178	F
Pup biopsy HB heteroplasmy (%)		HB A141	28.71876955	M				HB A240	23.47630915	M				HB A200	38.39171398	M				HB A376	44.44933044	M	HB A408	20.05936529	M										HB A554	46.32899755	F	HB A615	28.9883398	F	HB A650	18.35109764	M				HB A744	34.57275702	F	HB A543	22.62779166	M	HB A638	18.48115117	M							HB A129	29.27064315	M	HB A702	30.71805588	M				HB A695	12.44747568	M	HB A215	17.2458604	M	HB 695	16.11221441	M	HB 603	9.364743778	M				HB A046	7.023447234	M	HB 878	0.187430316	M				HB 957	9.816674671	M	HB 524	2.601641153	M																			HB A910	34.76850076	M	HB A900	58.26019498	M				HB B065	34.50469356	M	HB B082	49.98680727	M	HB B072	67.68648641	M	HB A918	29.15173342	M																HB A990	51.73309226	M							HB B107	87.7853364	M	HB B116	81.50923136	M				HB B099	54.52897287	M	HB B128	24.2101611	M	HB B154	77.00038268	M							HB B167	48.74979339	M	HB B184	51.15734561	F	HB B355	83.63388099	F				HB B390	92.92174286	M	HB B402	82.3164398	F				HB B450	73.23948906	M	HB B461	83.64125616	F	HB B320	82.59294191	F				HB B599	26.56016391	F	HB B632	41.10837024	F	HB B515	94.37149266	F	HB B674	31.55570272	F
