Reference		HB A551 pup2	HB A425 pup1	HB A424 pup 2	HB A554 pup 1	HB A554 pup 2	HB A424 pup 1	HB A424 pup 2	HB A550 pup 1	HB A550 pup 2	HB A550 pup 3	HB A197 pup 1	HB A403	HB A406	HB A422	HB A306	HB A307	HB A308	HB A608	HB A609	HB A610	HB A611	HB A612	HB A305	HB A804	HB A234	HB A197	HB A493	HB A494	HB A495	HB A287	HB A283	HB A284	HB A285	HB A647	HB A286	HB A635	HB A405	HB A615	HB A372	HB A373	HB A552	HB A555	HB A125	HB B102	HB B105	HB A806	HB B076	HB B093	HB B461	HB B463	HB B112	HB B119	HB B123	HB B068	HB B462	HB B094
Age / days after birth		3	3	4	4	4	8	8	9	9	9	24	37	37	41	47	47	47	48	48	48	48	48	54	55	109	146	145	145	145	152	178	178	178	213	222	231	228	236	253	253	282	282	290	27	27	182	36	55	73	73	235	235	229	247	73	237
Age / dpc		24	24	25	25	25	29	29	30	30	30	45	58	58	62	68	68	68	69	69	69	69	69	75	76	130	167	166	166	166	173	199	199	199	234	243	252	249	257	274	274	303	303	311	48	48	203	57	76	94	94	256	256	250	268	94	258
E(h)		0.50135886	0.419312221	0.182951779	0.381594709	0.353988079	0.300859273	0.559136475	0.192621843	0.244966553	0.048894034	0.456954458	0.565695806	0.275785108	0.238495644	0.2957427	0.339226202	0.240879775	0.177309815	0.359814174	0.206363178	0.243428513	0.265035402	0.141399912	0.463128848	0.661203553	0.234042655	0.597478228	0.567001872	0.516120594	0.131126577	0.110671248	0.131297863	0.069020098	0.156953335	0.351067843	0.515250455	0.15421968	0.322915385	0.49787234	0.35889238	0.280870351	0.293520863	0.18488135	0.962060983	0.926394523	0.521470557	0.639607991	0.898731159	0.842220712	0.9454985	0.928348463	0.86855455	0.857174853	0.65214633	0.884065225	0.95211366
V(h)		0.002558297	0.003589243	0.008239319	0.009131231	0.004610563	0.003503709	0.006312697	0.004081556	0.003014069	0.000974742	0.006249419	0.010003685	0.009128171	0.00661873	0.006966146	0.010653426	0.004040829	0.004926681	0.008721709	0.005086712	0.008999411	0.005709378	0.00211133	0.009634935	0.017850851	0.013864646	0.039404078	0.02464455	0.023347253	0.009790511	0.005962838	0.009027518	0.002810947	0.011658815	0.02726262	0.013344403	0.005723721	0.013599412	0.033952374	0.019948748	0.035416812	0.014317826	0.009076866	0.000836825	0.000835311	0.029515828	0.009358659	0.00177458	0.00441174	0.002508407	0.018978638	0.012582071	0.009724812	0.017671309	0.004928729	0.001336652
n		25	30	21	13	11	30	34	20	17	36	25	24	20	20	34	19	26	20	20	20	21	20	26	27	19	26	19	20	19	26	20	22	39	20	21	43	11	18	20	18	10	8	12	17	16	18	18	19	19	18	15	18	18	18	17	20
V’(h)		0.010233262	0.014740856	0.05511972	0.038694905	0.020161591	0.016657126	0.025609019	0.026244798	0.016295972	0.020960659	0.025184335	0.040717679	0.045703085	0.036443647	0.033446231	0.047527731	0.022098335	0.033774223	0.037863195	0.031058691	0.048864409	0.02931018	0.017390662	0.038750464	0.079686529	0.077340891	0.163843688	0.100380739	0.093486192	0.085932636	0.060583711	0.079147974	0.043745846	0.088111427	0.119667784	0.053427316	0.043881459	0.062199724	0.135811957	0.086700275	0.175346207	0.069046036	0.060231267	0.022926923	0.012250167	0.118281415	0.040599867	0.019497991	0.033199689	0.048677541	0.285317571	0.110207078	0.079434126	0.077898136	0.048088024	0.029316895
																																																									
Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
Mouse ID		HB A551 pup2	HB A425 pup1	HB A424 pup 2	HB A554 pup 1	HB A554 pup 2	HB A424 pup 1	HB A424 pup 2	HB A550 pup 1	HB A550 pup 2	HB A550 pup 3	HB A197 pup 1	HB A403	HB A406	HB A422	HB A306	HB A307	HB A308	HB A608	HB A609	HB A610	HB A611	HB A612	HB A305	HB A804	HB A234	HB A197	HB A493	HB A494	HB A495	HB A287	HB A283	HB A284	HB A285	HB A647	HB A286	HB A635	HB A405	HB A615	HB A372	HB A373	HB A552	HB A555	HB A125	HB B102	HB B105	HB A806	HB B076	HB B093	HB B461	HB B463	HB B112	HB B119	HB B123	HB B068	HB B462	HB B094
Mouse biopsy HB heteroplasmy  (%)		44.03709989	35.44165624	11.91858668	20.48518189	31.74938458	26.35070691	36.47514429	13.76779558	15.79257696	6.681896355	33.86858718	48.73836699	21.41526735	17.47731168	21.13656085	25.37830722	18.10175863	9.418585587	30.83490582	18.58468293	20.08142823	21.57780779	11.25299769	45.0632487	60.22055507	31.32256148	50.63068678	71.31076885	54.05821396	9.352451673	8.479490184	7.382101076	7.693111658	13.31900423	23.66780885	39.91531346	15.42302855	31.98538744	40.71357549	23.23924505	26.72015509	17.59469763	20.4949234	95.45464598	90.90624375	46.33729792	66.12446845	87.52423318	84.32656067	95.81972023	95.40419023	86.62247976	81.54365989	59.60448268	88.83129766	83.98907941
