Reference	LE A624 pup 1	LE A624 pup 2	LE A624 pup 3	LE A620	LE A622	LE A226	LE A223	LE A224	LE A206	LE A382	LE A280	LE A154	LE A155	LE A150	LE A111	LE A75	LE A754	LE A761	LE A762	LE A795	LE A842	LE A839	LE A924	LE A974	LE A934	LE B473	LE B474	LE B521	LE B522	LE B026	LE B028	LE A975	LE B086	LE B554	LE B085	LE B087	LE B553	LE A887	LE A888	LE A889	LE B135	LE B301	LE B555
Age / days after birth	3	3	3	45	45	104	104	104	128	136	160	212	212	260	388	219	219	353	353	132	102	40	255	227	65	68	68	32	32	33	33	52	210	46	210	210	46	79	79	79	226	200	82
Age / dpc	24	24	24	66	66	125	125	125	149	157	181	233	233	281	409	240	240	374	374	153	123	61	276	248	86	89	89	53	53	54	54	73	231	67	231	231	67	100	100	100	247	221	103
E(h)	0.504895417	0.36842344	0.388157245	0.02051502	0.224573407	0.309264346	0.216591928	0.218314869	0.258201964	0.123209843	0.152950017	0.070273171	0.30724354	0.159756724	0.274783843	0.419734666	0.557347878	0.170435764	0.18956558	0.428559909	0.561826179	0.194851201	0.331446205	0.441983146	0.678743218	0.677600579	0.777153935	0.676397294	0.848169952	0.249687755	0.421905136	0.392414891	0.722119164	0.745831616	0.598903114	0.732255398	0.7231032	0.391229916	0.629925663	0.573593884	0.712487495	0.744678664	0.956656811
V(h)	0.002285666	0.006558405	0.005553624	0.000666257	0.007271358	0.011474809	0.011033937	0.015419832	0.008331464	0.007763444	0.010392796	0.008148391	0.020558655	0.015891229	0.026727815	0.007401343	0.011111629	0.019348199	0.037102615	0.014952741	0.009045028	0.009009527	0.019034446	0.007796677	0.013275844	0.011901149	0.003602487	0.003004557	0.002657073	0.011462764	0.00247541	0.009929604	0.014001125	0.009334416	0.025025426	0.028595628	0.009323112	0.007318136	0.008386697	0.016451629	0.018571718	0.02305243	0.001181131
n	20	20	17	18	19	27	25	11	19	19	26	16	11	11	17	15	12	28	12	18	19	13	15	20	18	14	19	19	20	13	18	17	39	40	19	16	32	19	19	17	17	18	15
V’(h)	0.009143542	0.028185449	0.023384548	0.033156752	0.041755769	0.053716011	0.065027968	0.090357556	0.04349868	0.071864324	0.080218372	0.124717377	0.09658982	0.118384078	0.134123476	0.030388488	0.045039011	0.136845272	0.241505576	0.061057434	0.036741893	0.057427875	0.085899539	0.031612332	0.060884162	0.054477963	0.020801299	0.013726707	0.020633022	0.06118572	0.010149233	0.04164658	0.069774295	0.049240768	0.104177903	0.145853324	0.046563183	0.030726642	0.035975984	0.067263732	0.090660498	0.121244122	0.028485324
Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
Mouse ID	LE A624 pup 1	LE A624 pup 2	LE A624 pup 3	LE A620	LE A622	LE A226	LE A223	LE A224	LE A206	LE A382	LE A280	LE A154	LE A155	LE A150	LE A111	LE A75	LE A754	LE A761	LE A762	LE A795	LE A842	LE A839	LE A924	LE A974	LE A934	LE B473	LE B474	LE B521	LE B522	LE B026	LE B028	LE A975	LE B086	LE B554	LE B085	LE B087	LE B553	LE A887	LE A888	LE A889	LE B135	LE B301	LE B555
Mouse biopsy LE heteroplasmy  (%)	48.51095267	27.12410757	36.53560261	1.833577396	27.40728371	32.09060792	23.61563218	25.42578612	20.08484896	20.37446287	17.28926737	4.133273385	31.5633227	12.78055413	30.38164579	44.04459348	47.30724033	13.06900845	12.68794763	42.15188168	54.94897907	17.88764816	32.18821736	31.88517602	60.52710409	74.89578598	82.23051348	71.54448729	81.27665061	27.2321286	36.64306209	28.4707105	74.10774017	72.56324748	60.09629718	82.54772012	75.33477067	57.03167174	59.38946689	64.95502373	78.56203234	88.06711457	96.29643004
Age (d)	3	3	3	45	45	104	104	104	128	136	160	212	212	260	388	219	219	353	353	132	102	40	255	227	65	68	68	32	32	33	33	52	210	46	210	210	46	79	79	79	226	200	82
